City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Kavaratti,IN,10.5669,72.642,82.62,76,100,12.62,overcast clouds
280,Micheweni,TZ,-4.9667,39.8333,77.9,77,30,17.09,light rain
281,Carlisle,US,40.2015,-77.1889,78.94,77,80,2.93,broken clouds
282,Shimoda,JP,34.6667,138.95,73.76,84,100,3.89,overcast clouds
283,Seoul,KR,37.5683,126.9778,74.16,67,90,7.43,light rain
284,Lompoc,US,34.6391,-120.4579,60.39,87,90,7.02,overcast clouds
285,Sechura,PE,-5.5569,-80.8222,69.12,77,100,10.51,overcast clouds
286,Maria La Baja,CO,9.9832,-75.3016,82.24,91,100,2.04,overcast clouds
287,Usinsk,RU,65.9939,57.5281,39.36,58,97,15.48,overcast clouds
288,Westport,US,41.1415,-73.3579,80.37,81,1,1.01,clear sky
289,Tigil,RU,57.8,158.6667,53.22,70,94,6.87,overcast clouds
290,Kasongo,CD,-4.45,26.6667,67.57,78,89,0.6,overcast clouds
291,Sile,TR,41.1754,29.6133,68.67,65,80,3.53,broken clouds
292,Kahului,US,20.8947,-156.47,80.62,71,40,17.27,scattered clouds
293,Qandala,SO,11.472,49.8728,91.96,46,0,5.97,clear sky
294,Yar-Sale,RU,66.8333,70.8333,41.65,52,92,9.89,overcast clouds
295,Araouane,ML,18.9048,-3.5265,92.62,19,0,3.96,clear sky
296,Norman Wells,CA,65.282,-126.8329,51.84,76,75,4.61,light rain
297,Beringovskiy,RU,63.05,179.3167,34.47,99,100,3.85,overcast clouds
298,Portland,US,45.5234,-122.6762,55.98,66,46,1.01,scattered clouds
299,Malakal,SS,9.5334,31.6605,77.45,71,90,3.62,overcast clouds
300,Sisimiut,GL,66.9395,-53.6735,39.99,91,99,4.05,overcast clouds
301,Banda Aceh,ID,5.5577,95.3222,85.59,63,99,10.27,overcast clouds
302,Bonthe,SL,7.5264,-12.505,77.92,89,100,2.73,light rain
303,Niteroi,BR,-22.8833,-43.1036,72.59,83,0,4.92,clear sky
304,Vao,NC,-22.6667,167.4833,69.73,62,22,15.19,few clouds
305,Port Lincoln,AU,-34.7333,135.8667,58.55,84,44,23.8,scattered clouds
306,Paamiut,GL,61.994,-49.6678,38.08,96,100,5.3,light rain
307,Axim,GH,4.8699,-2.2405,78.3,86,30,7.38,light rain
308,Coihaique,CL,-45.5752,-72.0662,42.75,87,75,3.44,light rain
309,Maniitsoq,GL,65.4167,-52.9,38.98,92,100,7.72,overcast clouds
310,Rio Grande,BR,-32.035,-52.0986,57.16,77,9,10.51,clear sky
311,Tazovskiy,RU,67.4667,78.7,35.89,75,85,9.4,overcast clouds
312,Gornopravdinsk,RU,60.05,69.9,57.18,80,99,6.49,overcast clouds
313,Baykit,RU,61.67,96.37,44.76,84,99,7.52,light rain
314,Fairfield,US,41.2668,-73.3162,77.45,79,20,4.36,few clouds
315,Labuhan,ID,-6.8844,112.2051,87.35,61,91,2.19,overcast clouds
316,Sorland,NO,67.667,12.6934,51.87,97,100,4.74,overcast clouds
317,Uniara,IN,26.15,75.2167,94.24,37,72,16.37,broken clouds
318,Lavrentiya,RU,65.5833,-171.0,34.74,85,89,6.02,overcast clouds
319,Ossora,RU,59.2353,163.0719,42.22,88,100,4.88,overcast clouds
320,Vallenar,CL,-28.5708,-70.7581,55.67,77,0,0.69,clear sky
321,Talcahuano,CL,-36.7167,-73.1167,42.48,93,100,3.44,overcast clouds
322,La Romana,DO,18.4273,-68.9728,80.33,86,100,9.28,overcast clouds
323,Tianpeng,CN,30.9866,103.9393,76.64,48,100,5.21,overcast clouds
324,Bethel,US,41.3712,-73.414,77.29,77,20,0.0,few clouds
325,Kasongo-Lunda,CD,-6.4667,16.8167,64.92,54,13,1.83,few clouds
326,Shakawe,BW,-18.3667,21.85,45.68,78,3,4.85,clear sky
327,Katsuura,JP,35.1333,140.3,77.04,82,98,4.52,overcast clouds
328,Kruisfontein,ZA,-34.0033,24.7314,56.26,30,0,9.71,clear sky
329,Kerman,IR,30.2832,57.0788,84.06,14,0,8.34,clear sky
330,Sakakah,SA,29.9697,40.2064,81.97,19,0,3.06,clear sky
331,Oriximina,BR,-1.7656,-55.8661,77.63,79,75,3.24,broken clouds
332,Palmer,US,42.1584,-72.3287,75.61,74,1,4.43,clear sky
333,South Lake Tahoe,US,38.9332,-119.9844,65.05,48,1,8.05,clear sky
334,Makakilo City,US,21.3469,-158.0858,80.92,61,40,10.36,light rain
335,Nizwa,OM,22.9333,57.5333,90.3,42,5,3.0,clear sky
336,Ostrovnoy,RU,68.0531,39.5131,39.94,72,32,5.48,scattered clouds
337,Kushchevskaya,RU,46.5564,39.6386,61.86,83,72,11.41,broken clouds
338,Megion,RU,61.0296,76.1136,50.02,38,84,3.94,broken clouds
339,Paralimni,CY,35.0375,33.9833,74.08,42,0,1.01,clear sky
340,Jiwani,PK,25.05,61.7417,84.58,69,28,7.99,scattered clouds
341,Haines Junction,CA,60.7522,-137.5108,48.15,93,100,1.14,light rain
342,Nanakuli,US,21.3906,-158.1547,82.35,61,40,18.54,scattered clouds
343,Altamira,BR,-3.2033,-52.2064,73.74,90,85,0.63,overcast clouds
344,Lahat,ID,-3.8,103.5333,89.08,53,7,2.77,clear sky
345,Naze,JP,28.3667,129.4833,77.92,93,100,8.01,light rain
346,Half Moon Bay,US,37.4636,-122.4286,63.77,72,20,1.01,haze
